name,time,price,rating,comment,shipment,url
任天堂 Nintendo Switch主机 Joy-Con(L)霓虹蓝/(R)霓虹红(电池持续时间长后的款) &【任天堂许可商品】Nintendo Switch*液晶保护膜 多功能&*马里奥 3D收藏 -Switch (Amazon.co.jp限定) 马里奥贴纸(A5尺寸)&Nintendo Switch 标志设计 微纤维布 同捆),2020-11,"￥2,465.12",,,购海外购商品满300元免运费,https://www.amazon.cn/dp/B08LH5SRY6/ref=sr_1_1?dchild=1&keywords=switch&qid=1606316255&sr=8-1
Nintendo 任天堂 Switch Lite 珊瑚色 - P 単品,2020-03,"￥1,345.53",4.8 颗星，最多 5 颗星,224,购海外购商品满300元免运费,https://www.amazon.cn/dp/B085GGZ5GS/ref=sr_1_2?dchild=1&keywords=switch&qid=1606316255&sr=8-2
任天堂 Nintendo Super Mario Party 超级马里奥派对【Joy Con (L) 霓虹粉/ (R) 霓虹黄】套装 - Switch,,￥666.26,4.6 颗星，最多 5 颗星,37,购海外购商品满300元免运费,https://www.amazon.cn/dp/B07KH9SG84/ref=sr_1_3?dchild=1&keywords=switch&qid=1606316255&sr=8-3
Nintendo 任天堂 Switch Lite Coral & 红豆绿 -Switch&【任天堂许可商品】Nintendo Switch Lite* 硬质保护套 红豆绿 森林&【任天堂许可商品】Nintendo Switch Lite*液晶保护膜 多功能 (【Amazon.co.jp限定】Nintendo Switch标志设计 超细纤维布),2020-06,"￥1,906.95",,,购海外购商品满300元免运费,https://www.amazon.cn/dp/B089MP8Y8Q/ref=sr_1_4?dchild=1&keywords=switch&qid=1606316255&sr=8-4
Pokemon Tekken Tournament DX Pro Controller [任天堂Switch],,￥222.51,,,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07611WDMG/ref=sr_1_5?dchild=1&keywords=switch&qid=1606316255&sr=8-5
Pokeball 充电支架/女巫 (NNintendo Switch),,￥167.06,,,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07JZ8G7W6/ref=sr_1_6?dchild=1&keywords=switch&qid=1606316255&sr=8-6
Switch Play and Charge 游戏机保护套 (NNintendo Switch),,￥200.25,4.6 颗星，最多 5 颗星,81,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07GX72ZGY/ref=sr_1_7?dchild=1&keywords=switch&qid=1606316255&sr=8-7
NITHO 符合人体工程学的赛车轮 Nintendo Switch Joy-Con 控制器（任天堂Switch）,,￥169.37,,,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07VMRRH8K/ref=sr_1_8?dchild=1&keywords=switch&qid=1606316255&sr=8-8
Casque Gaming Avec Micro Pour PlayStation 4 - PS4 Slim - PS4 Pro - Xbox One - PC Nintendo Switch,,￥395.79,,,购海外购商品满300元免运费,https://www.amazon.cn/dp/B07GZVRT17/ref=sr_1_9?dchild=1&keywords=switch&qid=1606316255&sr=8-9
龙珠 龙珠 *赛亚人神一番翔极限 30cm (任天堂Switch),,￥582.16,,,购海外购商品满300元免运费,https://www.amazon.cn/dp/B07XHWFJR7/ref=sr_1_10?dchild=1&keywords=switch&qid=1606316255&sr=8-10
NITHO V-Grip V 型手柄 适用于任天堂 Switch Joy-Con 控制器（任天堂Switch）,,￥165.10,,,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07VPVC24K/ref=sr_1_11?dchild=1&keywords=switch&qid=1606316255&sr=8-11
NITHO 主机 Dock Pro 扩展坞 带4000mAh 电池组 Nintendo Switch,,￥215.12,,,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07VPV98KQ/ref=sr_1_12?dchild=1&keywords=switch&qid=1606316255&sr=8-12
龙珠* Jcc - 增强器扩展 - 增强器02 X24（法语）（任天堂Switch/PS4/Xbox One）,,"￥1,038.39",,,购海外购商品满300元免运费,https://www.amazon.cn/dp/B085CY2T26/ref=sr_1_13?dchild=1&keywords=switch&qid=1606316255&sr=8-13
"AMZER 硅胶保护套,用于任天堂Switch Joy-Con手柄 透明",,￥107.43,,,,https://www.amazon.cn/dp/B072WNGH1R/ref=sr_1_14?dchild=1&keywords=switch&qid=1606316255&sr=8-14
PDP Faceoff 豪华有线专业控制器 适用于 Nintendo Switch (500-069-NA-LZ00) - Nintendo Switch,2018-06,￥254.87,4.4 颗星，最多 5 颗星,382,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B073X3SLL1/ref=sr_1_15?dchild=1&keywords=switch&qid=1606316255&sr=8-15
Nintendo 任天堂 Switch Pro 控制手柄 喷射战士2限定版,2017-07,￥492.89,4.7 颗星，最多 5 颗星,34,购海外购商品满300元免运费,https://www.amazon.cn/dp/B072FHHZFJ/ref=sr_1_16?dchild=1&keywords=switch&qid=1606316255&sr=8-16
控制器手柄与任天堂Switch兼容,,￥148.28,,,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07J4W6VR2/ref=sr_1_17?dchild=1&keywords=switch&qid=1606316255&sr=8-17
Nintendo Switch Lunchbox Kit Zelda: Breath of the Wild Links Bow (Nintendo Switch),,￥342.69,4.6 颗星，最多 5 颗星,12,购海外购商品满300元免运费,https://www.amazon.cn/dp/B075FCXXWQ/ref=sr_1_18?dchild=1&keywords=switch&qid=1606316255&sr=8-18
背包 - Switch Edition (Nintendo Switch),,￥375.24,4.7 颗星，最多 5 颗星,156,购海外购商品满300元免运费,https://www.amazon.cn/dp/B07GX6PBF2/ref=sr_1_19?dchild=1&keywords=switch&qid=1606316255&sr=8-19
任天堂（Nintendo） Switch 游戏机 掌上游戏机Switch NS 英版,2017-03,"￥3,329.48",5.0 颗星，最多 5 颗星,1,购海外购商品满300元免运费,https://www.amazon.cn/dp/B01MFADJFV/ref=sr_1_20?dchild=1&keywords=switch&qid=1606316255&sr=8-20
任天堂Switch Lite 保护壳 - 口袋妖怪棋棋盘：黄色（任天堂切换）,,￥219.30,4.8 颗星，最多 5 颗星,9,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B07ZL1J2KH/ref=sr_1_21?dchild=1&keywords=switch&qid=1606316255&sr=8-21
Nintendo 任天堂 Switch 口袋妖怪小球纤薄便携包适用于控制台和游戏，PDP 500-112,2018-11,￥119.86,5.0 颗星，最多 5 颗星,1,,https://www.amazon.cn/dp/B07GX4YZZD/ref=sr_1_22?dchild=1&keywords=switch&qid=1606316255&sr=8-22
Nintendo 任天堂 Switch 500-100-NA-D3 Pokemon 皮卡丘游戏手柄，PDP Pro有线战斗垫控制器,,￥354.71,4.6 颗星，最多 5 颗星,"2,107",购海外购商品满300元免运费,https://www.amazon.cn/dp/B07GXB9GW9/ref=sr_1_23?dchild=1&keywords=switch&qid=1606316255&sr=8-23
"Tomtoc 便携保护套适用于 Nintendo Switch Hori Split Pad Pro,",,￥227.97,5.0 颗星，最多 5 颗星,4,购海外购商品满 ￥300 元免运费,https://www.amazon.cn/dp/B08G87X88X/ref=sr_1_24?dchild=1&keywords=switch&qid=1606316255&sr=8-24
Nintendo 任天堂 SWITCH 专业手柄,2017-03,￥437.53,4.0 颗星，最多 5 颗星,16,购海外购商品满300元免运费,https://www.amazon.cn/dp/B01N4ND1T2/ref=sr_1_25?dchild=1&keywords=switch&qid=1606316255&sr=8-25
